Location ID,Custom Label,Location Name,Latitude/Longitude,Owned by Current Organization,Owned By,Shared With,Devices,Other Devices,Licenses,Alert Status,Alerts,Created In
"644f4306-16c4-4aff-8c7a-e23826e69fcf",,"SR 369 and Wakulla Arran Road","{""lng"":-84.37103,""lat"":30.194407}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"9a6cf375-37d2-4e5d-8b5e-e1f60ae1b62d",,"SR 63 and 7th Avenue East","{""lng"":-84.41530354,""lat"":30.62563829}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"d6ace65a-cdbc-41d4-a505-f29582fecff3",,"SR 63 and 9th Ave","{""lng"":-84.415535,""lat"":30.62396}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"c22c9545-40e8-480f-831f-a095de4fa7f3",,"SR 71 @ Fort Rd","{""lng"":-85.16235327,""lat"":30.87001124}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","CRITICAL","TELEMETRY_UNAVAILABLE;PERIPHERAL_UNAVAILABLE;DETECTOR_FAIL_HIGH","TrafficLink"
"af5b0047-f445-45ab-8fc8-633626d0069d",,"SR 71 and Blue Springs Road","{""lng"":-85.19152,""lat"":30.780853}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"dc531c04-922d-4afc-8076-b5509be1d00e",,"SR 71 and Caverns Road","{""lng"":-85.17482,""lat"":30.811985}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"e844ac06-0129-4bf4-b2a5-09e0f6c4c0a6",,"SR 71 and Pelt Street","{""lng"":-85.202255,""lat"":30.770334}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"7ebcd39e-1249-46cb-82b8-f080d23a5bd4",,"SR 71 and SR 22","{""lng"":-85.200455,""lat"":30.112597}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"383223ca-ec28-4eea-bf39-0c30afec60d0",,"SR 71 and SR 69","{""lng"":-85.04612,""lat"":30.450531}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"139a8677-4531-41f3-ba45-c39af6a4fde2",,"SR 77 and Brickyard Road","{""lng"":-85.54193639,""lat"":30.76453941}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"e269bb8d-03cd-48a5-b961-92d754eefdb5",,"SR 77 and Glenwood Avenue","{""lng"":-85.53926,""lat"":30.789938}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"f147fe2f-0504-4c58-90d2-2a0baefc9ecc",,"SR 77 and South Boulevard","{""lng"":-85.53746589,""lat"":30.77178738}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"0dd5a1d9-549c-4c89-9ee6-57d3a38e5bdc",,"SR 79 and Court Avenue","{""lng"":-85.7122712,""lat"":30.62485845}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"5a3ff617-830f-480a-b28b-dc9fff4f8240",,"SR 85 and P J Adams Pkwy","{""lng"":-86.57018833,""lat"":30.71143347}",true,"Ingram Signalization Inc.","","CORE;CORE_DCM;SMARTVIEW_360",0,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"0ff4f648-5c4b-4ca3-b522-5b10cccb9bfd",,"SR 90 and Borden Street","{""lng"":-85.23592,""lat"":30.776678}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
